gender,age,height_in_cm,marital_status,education,profession,religion,language,community,city,country,food_preferences,drinks,smokes,skin_tone,build,category
F,32,160,NeverMarried,Masters-Computers/IT,Teacher,Hindu,Hindi,Brahmin-Kanyakubja,Jabalpur,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,23,157,NeverMarried,Bachelors-Computers/IT,NotSpecified,Hindu,Marathi,LevaPatil,Jalgaon,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,5
F,26,160,NeverMarried,Bachelors-Commerce,BusinessOwner/Entrepreneur,Hindu,Gujarati,Intercaste,Ahmedabad,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,32,152,Widowed,Highschool-Nursing/HealthSciences,Nurse,Hindu,Marathi,Maratha,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,6
F,27,160,NeverMarried,Doctorate-Science,ResearchScholar,Christian,Malayalam,RCSC,Thrissur,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,5
F,30,149,Divorced,Masters-Education,NotSpecified,Hindu,Hindi,Brahmin-Saryuparin,Sambalpur,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,0
F,29,167,NeverMarried,Masters-Commerce,FinanceProfessional,Hindu,Hindi,Baniya,Delhi,India,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,2
F,31,160,NeverMarried,Diploma-Education,Notworking,Muslim,Urdu,Sunni,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,23,170,NeverMarried,Diploma-Engineering/Technology,Notworking,Christian,Kannada,ChurchofSouthIndia,Hosapete,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,5
F,27,165,NeverMarried,Masters-Commerce,Consultant/Supervisor/TeamLeads,Hindu,Sindhi,Sindhi-Baibhand,Pune,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,29,165,NeverMarried,Bachelors-Commerce,CustomerSupport/BPO/KPOProfessional,Muslim,Hindi,Sunni,Secunderabad,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Darkskinned,HeavyBuild,5
F,27,160,NeverMarried,Masters-Arts,AccountingProfessional,Hindu,Hindi,Brahmin-Saryuparin,Kanpur,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,20,152,NeverMarried,Associatesdegree-Science,Notworking,Hindu,Hindi,Brahmin-Other,Jabalpur,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,19,167,NeverMarried,Undergraduate-Finance,Notworking,Hindu,Bengali,Brahmin-Other,Kolkata,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,38,152,Divorced,Diploma-Fashion,Notworking,Muslim,Gujarati,Sunni,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,HeavyBuild,6
F,32,147,NeverMarried,Masters-Arts,Teacher,Muslim,Assamese,Sunni,Guwahati,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,0
F,30,157,NeverMarried,Masters-Commerce,AccountingProfessional,Hindu,Hindi,Kumhar,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,28,157,NeverMarried,Bachelors-Arts,ResearchAssistant,Hindu,Bengali,Baishnab,Kolkata,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,26,162,NeverMarried,Bachelors-Engineering/Technology,Sr.Manager/Manager,Hindu,Hindi,Kushwaha,Delhi,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,5
F,26,162,NeverMarried,Masters-Travel&amp,Tourism,Notworking,Hindu,Marathi,Macclesfield,UnitedKingdom,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AthleticBuild,5
F,28,157,NeverMarried,Masters-Commerce,Sr.Manager/Manager,Hindu,Hindi,Brahmin-Other,Sonepat,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,5
F,32,154,NeverMarried,Diploma-Arts,TeamMember/Staff,Hindu,Assamese,Kalita,Jorhat,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,34,160,Divorced,Bachelors-Medicine,Dentist,Hindu,Hindi,Rajput,Woking,UnitedKingdom,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,6
F,28,154,NeverMarried,Masters-Management,Consultant/Supervisor/TeamLeads,Hindu,Hindi,Brahmin-Other,Ahmedabad,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,36,154,Divorced,Associatesdegree-Administrativeservices,Medical/HealthcareProfessional,Others),Muslim,SunniHanafi,CA,USA,Non-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,6
F,32,149,NeverMarried,Diploma-Computers/IT,Notworking,Buddhist,Marathi,NotSpecified,Nanded,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,41,160,NeverMarried,Masters-Advertising/Marketing,MediaProfessional,Hindu,Telugu,Brahmin-Other,TX,USA,Vegetarian,DrinksOccasionally,DoesntSmoke,VeryFairskinned,SlimBuild,6
F,24,152,NeverMarried,Bachelors-Arts,Notworking,Hindu,Hindi,Chaurasia,Mirzapur,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,0
F,29,170,Divorced,Highschool-Arts,Notworking,Hindu,Bengali,Brahmin-Other,Kharagpur,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,2
F,21,154,NeverMarried,Bachelors-Arts,Notworking,Hindu,Bengali,Banik,Kolkata,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AthleticBuild,0
F,24,165,NeverMarried,Masters-Engineering/Technology,Notworking,Muslim,Urdu,Sunni,Aligarh,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,3
F,27,162,NeverMarried,Bachelors-Law,Notworking,Hindu,Hindi,Punjabi,Delhi,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,28,162,NeverMarried,Diploma-Nursing/HealthSciences,Pharmacist,Hindu,Kannada,Lingayath,Hassan,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,49,157,NeverMarried,Masters-Management,VP/AVP/GM/DGM,Sikh,Punjabi,Jat,Mumbai,India,OccasionallyNon-Vegetarian,DrinksOccasionally,DoesntSmoke,Fairskinned,AverageBuild,6
F,26,152,Divorced,Masters-FineArts,Notworking,Hindu,Hindi,Rajput,Faridabad,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,0
F,27,154,NeverMarried,Masters-Arts,Lecturer,Muslim,Hindi,Sunni,Pune,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,0
F,18,134,NeverMarried,Highschool-Arts,Notworking,Hindu,Bengali,Karmakar,Kolkata,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,7
F,25,165,NeverMarried,Masters-Commerce,Notworking,Muslim,Urdu,Sunni,Allahabad,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,3
F,24,165,NeverMarried,Associatesdegree-Commerce,SalesProfessional,Hindu,Tamil,Chettiar,Mumbai,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Darkskinned,AverageBuild,3
F,30,162,NeverMarried,Masters-Management,MarketingProfessional,Jain,Hindi,Shwetamber,Dubai,UnitedArabEmirates,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AthleticBuild,5
F,24,160,NeverMarried,Masters-Commerce,Teacher,Hindu,Hindi,Jaiswal,Gorakhpur,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,27,165,Divorced,Lessthanhighschool-Advertising/Marketing,NotSpecified,Sikh,Punjabi,Ramgharia,Delhi,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,3
F,42,154,NeverMarried,Masters-Management,AgriculturalProfessional,Hindu,Hindi,Kayastha,Lucknow,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,6
F,25,144,NeverMarried,Undergraduate-Commerce,CustomerSupport/BPO/KPOProfessional,Muslim,Hindi,Sunni,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,0
F,35,152,NeverMarried,Bachelors-Commerce,Notworking,Buddhist,Marathi,NotSpecified,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,6
F,24,160,NeverMarried,Bachelors-Engineering/Technology,SoftwareConsultant,Hindu,Hindi,Khatri,Ambala,India,Eggetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,26,152,NeverMarried,Highschool-Commerce,Notworking,Hindu,Hindi,Baghel/Pal/Gaderiya,Delhi,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,0
F,27,165,NeverMarried,Doctorate-Medicine,Doctor,Hindu,Sindhi,Sindhi-Larkana,Delhi,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,23,157,NeverMarried,Undergraduate-Arts,Notworking,Hindu,Hindi,Baniya,Patna,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,26,149,Divorced,Bachelors-Commerce,CompanySecretary,Hindu,Bengali,Namasudra,Kolkata,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,30,167,NeverMarried,Bachelors-Engineering/Technology,NotSpecified,Hindu,Hindi,Jat,Noida,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,2
F,21,152,NeverMarried,Bachelors-Science,Notworking,Hindu,Marathi,Dhangar,Osmanabad,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,30,165,NeverMarried,Bachelors-Commerce,NotSpecified,Hindu,Odia,Baniya,Rourkela,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AthleticBuild,3
F,31,162,NeverMarried,Highschool-Arts,Notworking,Muslim,Urdu,Sunni,Chinsurah,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,3
F,23,149,NeverMarried,Bachelors-Commerce,AdminProfessional,Hindu,Hindi,Lohar,Mumbai,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,0
F,41,157,Widowed,Masters-Advertising/Marketing,Sr.Manager/Manager,Hindu,Gujarati,Patel-Leva,CA,USA,Eggetarian,DrinksOccasionally,DoesntSmoke,VeryFairskinned,AverageBuild,6
F,19,157,NeverMarried,Honoursdegree-Administrativeservices,Notworking,Muslim,Bengali,Sunni,Dhaka,Bangladesh,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,34,152,NeverMarried,Masters-Nursing/HealthSciences,Teacher,Hindu,Hindi,Rajput,Delhi,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,6
F,23,157,NeverMarried,Highschool-Law,Notworking,Hindu,Hindi,Jatav,Firozabad,India,Eggetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,5
F,26,157,NeverMarried,Bachelors-Computers/IT,SoftwareDeveloper/Programmer,Hindu,Hindi,Khatri,Gurgaon,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,25,167,NeverMarried,Masters-Science,Teacher,Hindu,Punjabi,Khatri,Kapurthala,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,28,160,NeverMarried,Masters-Management,NotSpecified,Hindu,Konkani,Brahmin-GowdSaraswat,Pune,India,Eggetarian,DrinksOccasionally,DoesntSmoke,VeryFairskinned,AverageBuild,5
F,26,165,NeverMarried,Bachelors-Engineering/Technology,BankingProfessional,Hindu,Hindi,Brahmin-Other,Delhi,India,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,HeavyBuild,5
F,33,167,NeverMarried,Bachelors-Law,LegalProfessional,Hindu,Bengali,Kayastha,Bengaluru/Bangalore,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,2
F,26,162,NeverMarried,Bachelors-Science,NotSpecified,Hindu,Gujarati,Rajput,Gandhinagar,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,20,149,Divorced,Diploma-Computers/IT,Notworking,Hindu,Hindi,Rajput,Raigarh,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,0
F,30,160,NeverMarried,Masters-Management,HumanResourcesProfessional,Hindu,Hindi,Teli,Noida,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,22,160,NeverMarried,Highschool-HomeScience,Notworking,Hindu,Hindi,Brahmin-Smartha,Budaun,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,27,160,NeverMarried,Masters-Commerce,Journalist,Hindu,Hindi,NotSpecified,Delhi,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,25,134,NeverMarried,Undergraduate-HomeScience,Notworking,Hindu,Hindi,Kushwaha,Bhopal,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,7
F,27,157,NeverMarried,Masters-Commerce,Notworking,Sikh,Punjabi,Khatri,Delhi,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,22,134,NeverMarried,Diploma-Advertising/Marketing,Notworking,Hindu,Marwari,Brahmin-Other,Bikaner,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,7
